1024 2912085 1445684 1834904 1445685
2048 11619644 5776833 7310780 5776833
3072 26131041 12995137 16436005 12995137
4096 46446271 23100590 29210567 23100592
5120 72565424 36093250 45634548 36093252
6144 104488397 51973069 65707857 51973071
7168 142215223 70740039 89430519 70740039
8192 185745950 92394200 116802573 92394195
9216 235080526 116935513 147823997 116935508
10240 290218920 144363999 182494743 144363994
11264 351161171 174679645 220814850 174679640
12288 417907294 207882462 262784333 207882457
