1024 1,251,973 222,545 325,027 222,545
2048 5,507,679 887,894 1,284,736 887,894
3072 12,384,498 1,996,629 2,882,853 1,996,629
4096 22,011,291 3,548,776 5,119,454 3,548,776
5120 34,388,236 5,544,474 7,994,717 5,544,474
6144 49,514,891 7,983,533 11,508,204 7,983,533
7168 67,391,533 10,865,909 15,660,190 10,865,909
8192 88,018,240 14,191,864 20,450,749 14,191,864
9216 111,394,682 17,961,082 25,879,559 17,961,082
10240 137,521,437 22,173,955 31,947,194 22,173,955
11264 166,397,941 26,830,090 38,653,090 26,830,090
12288 198,024,272 31,929,590 45,997,325 31,929,590
